,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
43,549010.0,0.0,460119.0,416385.0,19898.0,17986,367.0,195.0,230.0,12.0,34657.0,39062.0,110.0,0.0,0.0,0.0,2.0,0.0,148.0,106.0,4.0,30.0,24.0,2.0,1538347
44,577117.0,0.0,408767.0,310767.0,18445.0,15073,297.0,176.0,169.0,7.0,30793.0,31772.0,94.0,0.0,0.0,0.0,0.0,0.0,123.0,85.0,8.0,4.0,7.0,1.0,1393705
45,569564.0,0.0,410871.0,304023.0,18467.0,14167,193.0,156.0,188.0,11.0,28261.0,28866.0,120.0,1.0,0.0,0.0,0.0,0.0,136.0,95.0,9.0,2.0,5.0,0.0,1375135
46,598663.0,0.0,454630.0,323738.0,19976.0,16045,283.0,171.0,215.0,7.0,30703.0,31512.0,121.0,0.0,0.0,0.0,0.0,0.0,131.0,108.0,9.0,4.0,2.0,0.0,1476318
47,744925.0,0.0,508468.0,382976.0,22299.0,16528,358.0,189.0,200.0,8.0,27085.0,30227.0,119.0,0.0,0.0,0.0,0.0,0.0,148.0,113.0,2.0,4.0,2.0,0.0,1733651
48,1251905.0,0.0,629802.0,482924.0,25849.0,19790,326.0,139.0,238.0,7.0,29611.0,35626.0,108.0,1.0,1.0,0.0,0.0,0.0,166.0,105.0,8.0,0.0,3.0,1.0,2476610
49,809968.0,0.0,633688.0,470225.0,23455.0,26496,242.0,234.0,272.0,19.0,49137.0,59893.0,131.0,0.0,0.0,0.0,0.0,0.0,106.0,86.0,16.0,3.0,6.0,1.0,2073978
50,680055.0,0.0,439383.0,430930.0,21903.0,15871,250.0,159.0,260.0,16.0,29217.0,32186.0,115.0,0.0,0.0,0.0,1.0,0.0,106.0,78.0,27.0,5.0,3.0,0.0,1650565
51,522226.0,0.0,565419.0,844358.0,19688.0,21244,274.0,207.0,256.0,16.0,26876.0,31880.0,89.0,0.0,0.0,0.0,0.0,0.0,93.0,76.0,47.0,0.0,6.0,0.0,2032755
52,497659.0,0.0,458889.0,732270.0,15898.0,19436,399.0,182.0,290.0,15.0,31552.0,48912.0,98.0,0.0,0.0,0.0,0.0,0.0,83.0,66.0,7.0,0.0,2.0,1.0,1805759
53,565281.0,0.0,422005.0,578973.0,14272.0,17954,675.0,154.0,287.0,15.0,32406.0,46774.0,112.0,0.0,0.0,0.0,0.0,0.0,78.0,102.0,8.0,0.0,3.0,0.0,1679099
54,357722.0,0.0,413380.0,523292.0,14005.0,16018,469.0,166.0,247.0,6.0,28819.0,38027.0,83.0,0.0,0.0,0.0,0.0,0.0,63.0,117.0,5.0,0.0,3.0,1.0,1392423
55,391909.0,0.0,428058.0,497092.0,13486.0,17092,582.0,249.0,283.0,1.0,27062.0,32462.0,68.0,0.0,0.0,0.0,0.0,0.0,68.0,48.0,1.0,2.0,5.0,0.0,1408468
56,416312.0,0.0,391016.0,376846.0,12468.0,14339,519.0,241.0,298.0,5.0,28092.0,31376.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1271571
57,398792.0,0.0,394363.0,392866.0,13555.0,14526,444.0,209.0,263.0,6.0,26792.0,28944.0,56.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1270817
58,449993.0,0.0,445522.0,436674.0,15605.0,16057,619.0,191.0,267.0,2.0,28305.0,31163.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1424450
59,517224.0,0.0,533674.0,554003.0,21136.0,18624,665.0,204.0,267.0,6.0,25445.0,31156.0,50.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1702455
60,695386.0,0.0,683266.0,700873.0,23817.0,23878,376.0,214.0,260.0,7.0,30530.0,38447.0,58.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2197116
