month,other,prepawn_other,redemption_other,returned_other,private_sale_other,return_to_seller_other
2010-06,16.0,0.0,0.0,,,
2010-06,80.0,0.0,0.0,,,
2010-06,98.0,0.0,0.0,,,
2010-06,96.0,0.0,0.0,,,
2010-06,57.0,0.0,2.0,,,
2010-06,200.0,0.0,0.0,,,
2010-06,43.0,0.0,0.0,,,
2010-06,8.0,0.0,0.0,,,
2010-06,0.0,0.0,0.0,,,
2010-06,14.0,0.0,0.0,,,
2010-06,0.0,0.0,0.0,,,
2010-06,71.0,0.0,0.0,,,
2010-06,212.0,0.0,0.0,,,
2010-06,166.0,0.0,4.0,,,
2010-06,16.0,0.0,0.0,,,
2010-06,259.0,0.0,0.0,,,
2010-06,158.0,0.0,1.0,,,
2010-06,0.0,0.0,0.0,,,
2010-06,0.0,0.0,0.0,,,
2010-06,4.0,0.0,0.0,,,
2010-06,15.0,0.0,0.0,,,
2010-06,49.0,0.0,1.0,,,
2010-06,15.0,0.0,0.0,,,
2010-06,0.0,0.0,0.0,,,
2010-06,549.0,1.0,9.0,,,
2010-06,0.0,0.0,0.0,,,
2010-06,8.0,0.0,0.0,,,
2010-06,0.0,0.0,0.0,,,
2010-06,0.0,0.0,0.0,,,
2010-06,274.0,0.0,0.0,,,
2010-06,64.0,0.0,0.0,,,
2010-06,89.0,0.0,0.0,,,
2010-06,18.0,0.0,0.0,,,
2010-05,150.0,0.0,5.0,,,
2010-05,39.0,0.0,0.0,,,
2010-05,143.0,0.0,0.0,,,
2010-05,41.0,0.0,1.0,,,
2010-05,0.0,0.0,0.0,,,
2010-05,0.0,0.0,0.0,,,
2010-05,34.0,0.0,0.0,,,
2010-05,20.0,0.0,0.0,,,
2010-05,0.0,0.0,0.0,,,
2010-05,0.0,0.0,0.0,,,
2010-05,74.0,0.0,2.0,,,
2010-05,1.0,0.0,0.0,,,
2010-05,0.0,0.0,0.0,,,
2010-05,39.0,0.0,3.0,,,
2010-05,0.0,0.0,0.0,,,
2010-05,216.0,0.0,0.0,,,
2010-05,12.0,0.0,0.0,,,
2010-05,102.0,0.0,0.0,,,
2010-05,79.0,0.0,2.0,,,
2010-05,146.0,0.0,1.0,,,
2010-05,32.0,0.0,1.0,,,
2010-05,0.0,0.0,0.0,,,
2010-05,16.0,0.0,0.0,,,
2010-05,79.0,0.0,0.0,,,
2010-05,115.0,0.0,0.0,,,
2010-05,112.0,0.0,0.0,,,
2010-05,71.0,0.0,0.0,,,
2010-05,194.0,0.0,1.0,,,
2010-05,44.0,0.0,0.0,,,
2010-05,4.0,0.0,0.0,,,
2010-05,0.0,0.0,0.0,,,
2010-05,16.0,0.0,0.0,,,
2010-05,0.0,0.0,0.0,,,
2010-05,92.0,0.0,0.0,,,
2010-05,224.0,0.0,0.0,,,
2010-05,150.0,0.0,2.0,,,
2010-05,20.0,0.0,1.0,,,
2010-05,332.0,0.0,1.0,,,
2010-05,160.0,0.0,1.0,,,
2010-05,0.0,0.0,0.0,,,
2010-05,0.0,0.0,0.0,,,
2010-05,2.0,0.0,0.0,,,
2010-05,23.0,0.0,0.0,,,
2010-05,58.0,0.0,0.0,,,
2010-05,33.0,0.0,0.0,,,
2010-05,0.0,0.0,0.0,,,
2010-05,557.0,0.0,5.0,,,
2010-05,0.0,0.0,0.0,,,
2010-05,16.0,0.0,0.0,,,
2010-05,0.0,0.0,0.0,,,
2010-05,0.0,0.0,0.0,,,
2010-05,321.0,0.0,1.0,,,
2010-05,36.0,0.0,0.0,,,
2010-05,105.0,0.0,0.0,,,
2010-05,42.0,0.0,1.0,,,
2010-04,131.0,0.0,3.0,,,
2010-04,64.0,0.0,0.0,,,
2010-04,198.0,0.0,1.0,,,
2010-04,45.0,0.0,2.0,,,
2010-04,0.0,0.0,0.0,,,
2010-04,0.0,0.0,0.0,,,
2010-04,97.0,0.0,0.0,,,
2010-04,17.0,0.0,0.0,,,
2010-04,0.0,0.0,0.0,,,
2010-04,0.0,0.0,0.0,,,
2010-04,95.0,0.0,2.0,,,
2010-04,2.0,0.0,0.0,,,
2010-04,0.0,0.0,0.0,,,
2010-04,44.0,0.0,2.0,,,
2010-04,0.0,0.0,0.0,,,
2010-04,227.0,0.0,0.0,,,
2010-04,13.0,0.0,0.0,,,
2010-04,107.0,0.0,1.0,,,
2010-04,104.0,0.0,1.0,,,
2010-04,114.0,0.0,2.0,,,
2010-04,49.0,0.0,0.0,,,
2010-04,0.0,0.0,0.0,,,
2010-04,17.0,0.0,1.0,,,
2010-04,71.0,0.0,0.0,,,
2010-04,143.0,0.0,0.0,,,
2010-04,141.0,0.0,0.0,,,
2010-04,59.0,0.0,0.0,,,
2010-04,199.0,0.0,0.0,,,
2010-04,65.0,0.0,2.0,,,
2010-04,5.0,0.0,0.0,,,
2010-04,0.0,0.0,0.0,,,
2010-04,17.0,0.0,0.0,,,
2010-04,0.0,0.0,0.0,,,
2010-04,75.0,0.0,2.0,,,
