month,long_gun,prepawn_long_gun,redemption_long_gun,returned_long_gun,rentals_long_gun,private_sale_long_gun,return_to_seller_long_gun
2014-06,2493.0,0.0,0.0,,,0.0,0.0
2014-06,3269.0,1.0,412.0,,,0.0,0.0
2014-06,9201.0,0.0,13.0,,,82.0,5.0
2014-06,8702.0,11.0,2277.0,,,0.0,0.0
2014-06,2114.0,1.0,124.0,,,0.0,0.0
2014-06,13177.0,1.0,777.0,,,0.0,0.0
2014-06,7568.0,4.0,1620.0,,,0.0,0.0
2014-06,7689.0,0.0,0.0,,,0.0,0.0
2014-06,6077.0,0.0,0.0,,,0.0,0.0
2014-06,204.0,0.0,4.0,,,0.0,0.0
2014-06,487.0,0.0,3.0,,,0.0,0.0
2014-06,3745.0,4.0,772.0,,,0.0,0.0
2014-06,2468.0,1.0,206.0,,,0.0,0.0
2014-06,10004.0,0.0,0.0,,,0.0,0.0
2014-06,27426.0,9.0,4171.0,,,0.0,0.0
2014-06,2654.0,0.0,280.0,,,0.0,0.0
2014-06,787.0,0.0,0.0,,,0.0,0.0
2014-06,2.0,0.0,0.0,,,0.0,0.0
2014-06,11017.0,0.0,0.0,,,0.0,0.0
2014-06,8253.0,6.0,1121.0,,,0.0,0.0
2014-06,4290.0,4.0,1419.0,,,0.0,0.0
2014-06,7111.0,1.0,246.0,,,0.0,0.0
2014-06,1774.0,1.0,222.0,,,0.0,0.0
2014-05,8807.0,10.0,1774.0,,,0.0,0.0
2014-05,3161.0,8.0,193.0,,,0.0,0.0
2014-05,6065.0,3.0,621.0,,,0.0,0.0
2014-05,3869.0,6.0,1641.0,,,0.0,0.0
2014-05,26630.0,0.0,456.0,,,0.0,0.0
2014-05,10818.0,0.0,1.0,,,0.0,0.0
2014-05,1900.0,0.0,0.0,,,0.0,0.0
2014-05,1671.0,4.0,6.0,,,0.0,0.0
2014-05,2.0,0.0,0.0,,,0.0,0.0
2014-05,17504.0,5.0,1026.0,,,0.0,0.0
2014-05,6051.0,5.0,1668.0,,,0.0,0.0
2014-05,58.0,0.0,0.0,,,0.0,0.0
2014-05,0.0,0.0,0.0,,,0.0,0.0
2014-05,3399.0,4.0,545.0,,,0.0,0.0
2014-05,9308.0,0.0,0.0,,,0.0,0.0
